genre,type,episodes,rating
6.9894012269343655,2258,1.0,9.37
6.86625282953957,3568,64.0,9.26
6.756904073857389,3568,51.0,9.25
7.043108056969871,3568,24.0,9.17
6.756904073857389,3568,51.0,9.16
6.886770242290035,3568,10.0,9.15
6.874375700899778,3568,148.0,9.13
6.843828441029535,3246,110.0,9.11
6.756904073857389,2258,1.0,9.1
6.756904073857389,3568,13.0,9.11
6.881299788042139,3568,24.0,9.06
7.003359037994927,2258,1.0,9.05
6.756904073857389,3568,201.0,9.04
6.837920185169405,3568,25.0,8.98
6.886770242290035,3568,25.0,8.93
6.909435761441931,2258,1.0,8.93
6.787645036306705,3568,22.0,8.92
6.875485163734324,3568,10.0,8.88
6.712569868470297,2258,1.0,8.84
6.837717052073532,3568,25.0,8.83
6.864401376745704,3568,75.0,8.83
6.863480609134492,3246,4.0,8.83
6.757186638425776,3568,26.0,8.82
6.78670317151205,3568,12.0,8.82
6.737439018248886,2258,1.0,8.81
6.926267501059958,2258,1.0,8.81
6.9524137538696,3568,26.0,8.8
6.875485163734324,3568,10.0,8.8
6.875485163734324,3568,26.0,8.78
6.704645835178097,3568,27.0,8.78
6.879379726739913,3568,43.0,8.77
6.859027766099681,3568,13.0,8.76
6.864401376745704,3568,26.0,8.75
6.875485163734324,2258,1.0,8.75
6.859027766099681,3568,13.0,8.75
6.8503834593730755,2258,1.0,8.74
6.9631201550540816,3568,12.0,8.73
6.9776555221435625,2258,1.0,8.73
7.017710176933706,3568,74.0,8.72
6.9182700320342185,3568,25.0,8.71
7.149436195122888,3568,37.0,8.71
6.56929304436407,3246,2.0,8.69
6.865027262464648,3568,25.0,8.68
6.886770242290035,3568,25.0,8.68
6.864401376745704,3568,25.0,8.68
7.064227748426824,2258,1.0,8.68
6.859027766099681,3568,13.0,8.67
6.9199832081987935,3568,11.0,8.67
6.875485163734324,1665,1.0,8.66
7.05352249473256,3568,12.0,8.65
7.081277405229009,3568,11.0,8.65
6.79634929398995,3568,13.0,8.64
6.777309646018298,3246,4.0,8.64
7.019581011076161,3568,26.0,8.64
7.0120502332057395,3568,25.0,8.64
6.746325958867262,2258,1.0,8.64
6.859027766099681,3568,13.0,8.64
6.909644001455145,3568,11.0,8.62
6.864096677101894,3568,25.0,8.62
7.043108056969871,2258,1.0,8.61
6.967388352776638,2258,1.0,8.61
6.899185596523523,3568,24.0,8.61
6.711887048732699,3568,12.0,8.61
6.756904073857389,2258,2.0,8.6
6.914495245729263,3568,24.0,8.6
6.756904073857389,2258,1.0,8.59
6.847766889027741,3246,10.0,8.59
6.813870241013141,3568,24.0,8.59
7.057867895957671,3568,13.0,8.59
6.748789941563838,3568,99.0,8.59
6.875421390641595,2258,1.0,8.58
6.865263382398046,2258,1.0,8.58
6.864096677101894,3568,25.0,8.58
6.850198229514186,3568,25.0,8.58
6.922687660980675,3568,26.0,8.57
6.868695104952838,3568,39.0,8.57
7.081580397503669,2258,1.0,8.57
6.878132192199184,3568,39.0,8.57
6.886770242290035,3568,101.0,8.56
7.095102020860499,3568,11.0,8.56
6.991219237775848,2258,1.0,8.55
6.794740985059811,3568,12.0,8.55
6.696771383023766,3568,47.0,8.55
6.897375074918609,3568,13.0,8.54
6.875485163734324,1665,1.0,8.54
6.881295505266759,3568,25.0,8.54
6.9182700320342185,3568,25.0,8.53
6.875407724504822,3568,50.0,8.53
6.921135010971498,2258,1.0,8.53
6.712344125405113,2258,1.0,8.53
6.871553906151997,3568,25.0,8.53
6.832623160392768,3246,26.0,8.53
6.949396707055186,3568,25.0,8.52
6.823385012940325,3568,13.0,8.51
6.895922345120742,3568,26.0,8.51
7.045404221488756,3568,12.0,8.51
6.787689074727382,3568,26.0,8.52
6.904581978470161,3568,22.0,8.5
6.693410759857393,3568,12.0,8.5
6.864096677101894,3568,51.0,8.5
6.816022506530013,3568,25.0,8.5
7.045404221488756,2258,1.0,8.5
6.800412866835999,3246,2.0,8.5
6.807008115900722,3568,26.0,8.5
6.899185596523523,3568,13.0,8.5
6.8182601721427245,3568,12.0,8.49
7.045404221488756,2258,1.0,8.49
6.800412866835999,3568,25.0,8.49
6.821323956220752,3568,12.0,8.49
6.808579452056655,3568,24.0,8.49
6.880772099718644,3568,47.0,8.48
6.874375700899778,3568,62.0,8.48
6.898752931400928,3568,13.0,8.48
6.864987039627127,3568,12.0,8.48
6.7968457274512994,2258,1.0,8.48
6.870822326469156,3568,26.0,8.47
6.712257508450476,2258,1.0,8.47
6.754788212232742,3568,12.0,8.47
6.806039070511152,3568,33.0,8.47
6.8026868761893455,3568,112.0,8.47
6.760477185031406,3568,13.0,8.46
6.864096677101894,3568,25.0,8.46
6.789251835563843,3568,23.0,8.46
6.794282899050796,3568,12.0,8.46
6.839587311664356,3246,2.0,8.45
7.043108056969871,1665,1.0,8.46
6.867590103344874,3568,13.0,8.45
6.827738560669559,3568,50.0,8.45
7.040940016909514,2258,1.0,8.45
6.469754748753926,2258,1.0,8.45
6.840655385432723,3568,25.0,8.45
6.856852937935043,2258,1.0,8.44
6.874283796968804,3246,3.0,8.44
6.959304817266418,3568,12.0,8.43
6.797539351079709,3568,94.0,8.43
6.786496846964701,2258,1.0,8.43
7.038246521632775,2258,1.0,8.42
6.867590103344874,3568,12.0,8.42
6.864401376745704,3568,26.0,8.42
6.814559668536884,3246,6.0,8.42
6.822994753754771,3568,24.0,8.42
6.859027766099681,3568,13.0,8.42
6.814307144222464,2258,1.0,8.42
7.157735965553096,3568,24.0,8.41
6.874375700899778,3246,8.0,8.41
6.874375700899778,3246,14.0,8.41
6.863094694076162,3246,2.0,8.41
6.864401376745704,3568,26.0,8.41
6.9199832081987935,3568,25.0,8.41
6.6698493358464415,3568,26.0,8.4
6.827984179186781,3568,25.0,8.4
6.87816053978586,2258,1.0,8.4
6.939303701970702,3568,26.0,8.4
6.801409267964847,3246,7.0,8.4
6.859027766099681,3246,1.0,8.4
6.906777862937637,3568,24.0,8.4
6.872955537757146,3568,40.0,8.4
6.8680172089547,3568,24.0,8.4
6.8771094058210265,3568,13.0,8.39
7.030593592069321,3568,15.0,8.39
7.0678972496139165,3568,12.0,8.39
6.826713667980072,1665,1.0,8.39
6.814307144222464,2258,1.0,8.39
6.894680033876961,3568,26.0,8.39
7.048571431443093,2258,1.0,8.38
7.008674029524751,3568,24.0,8.38
6.752729847924095,3568,11.0,8.38
6.8668294017391505,3568,26.0,8.38
6.3162421412721965,487,1.0,8.38
6.7819899667485215,2258,1.0,8.38
6.6766681841743445,1665,1.0,8.37
7.14003191455609,3568,12.0,8.37
6.822223139350814,3568,26.0,8.37
6.7155374400250025,2258,1.0,8.37
6.847673701516346,3568,203.0,8.37
6.801297198413891,3568,10.0,8.37
6.794282899050796,3568,13.0,8.37
6.873388102106548,3568,13.0,8.36
6.854858532664241,3568,11.0,8.36
6.890737737908709,3568,13.0,8.36
6.800412866835999,3246,1.0,8.36
6.884370505206519,3246,13.0,8.36
6.890769004004295,3568,77.0,8.36
6.898538541698091,3568,25.0,8.35
6.854858532664241,3568,12.0,8.35
6.933636042330979,2258,1.0,8.35
6.809826706539783,2258,1.0,8.35
6.864401376745704,3568,26.0,8.35
7.073914133726961,2258,1.0,8.35
6.795458612421178,1665,1.0,8.34
6.871523236303182,2258,1.0,8.34
6.438471756571597,2258,1.0,8.34
6.901123586295643,1665,1.0,8.34
6.82464419481235,2258,1.0,8.34
6.823733022848582,2258,1.0,8.34
7.043108056969871,1665,1.0,8.34
6.973155436986069,3568,13.0,8.34
6.808920830479896,2258,1.0,8.33
7.079860655338775,3568,12.0,8.33
6.837933025980963,3568,51.0,8.33
7.038357700928673,3568,26.0,8.33
6.874375700899778,3246,8.0,8.33
6.684224756837041,2258,1.0,8.33
6.949396707055186,3568,25.0,8.32
7.048571431443093,2258,1.0,8.32
6.802798523989655,3568,291.0,8.32
6.867590103344874,1665,1.0,8.32
6.984421508352902,2258,1.0,8.32
6.829732191227277,2258,1.0,8.32
6.885010479629288,3568,26.0,8.32
6.522762630269224,3568,26.0,8.32
6.814307144222464,2258,1.0,8.32
6.808579452056655,2258,1.0,8.32
6.710462323820267,3568,26.0,8.32
7.119110025364272,3246,2.0,8.32
6.756904073857389,1665,1.0,8.31
7.045404221488756,2258,1.0,8.31
6.8945815312219665,3568,12.0,8.31
6.898239731532355,3568,13.0,8.31
6.8718314743622715,3246,1.0,8.31
6.79634929398995,3568,26.0,8.3
6.876636867979455,3568,12.0,8.3
6.890737737908709,3568,23.0,8.3
6.933933509246913,3568,12.0,8.3
6.671792466807549,2258,1.0,8.3
6.897375074918609,1665,3.0,8.29
7.048571431443093,2258,1.0,8.29
7.038357700928673,3568,26.0,8.29
6.736892718357091,3568,4.0,8.29
6.92095672918684,3568,12.0,8.29
6.827524903715562,1665,1.0,8.29
6.9191618486729105,3568,120.0,8.29
6.832391436537267,2258,1.0,8.28
6.826713667980072,3246,1.0,8.28
6.8143504246067055,3568,12.0,8.28
6.876226857374627,3568,25.0,8.28
6.864401376745704,3568,24.0,8.28
7.060380133542177,3568,24.0,8.27
6.808776134998598,2258,1.0,8.27
6.751609302068092,3568,11.0,8.27
